siteID,plotID,collectDate,ym,taxonID,scientificName,individualCount,trapnights,source
HARV,HARV_001,2016-05-15,2016-05,PTEMEL,Pterostichus melanarius,1,42,demo
HARV,HARV_001,2016-05-15,2016-05,PTEMUT,Pterostichus mutus,2,42,demo
HARV,HARV_001,2016-05-15,2016-05,CARGOR,Carabus goryi,3,42,demo
HARV,HARV_001,2016-05-15,2016-05,CYCHRU,Cychrus caraboides,1,42,demo
HARV,HARV_001,2016-05-15,2016-05,AGOMEL,Agonum melanarium,1,42,demo
HARV,HARV_002,2016-05-15,2016-05,PTEMEL,Pterostichus melanarius,1,42,demo
HARV,HARV_002,2016-05-15,2016-05,PTEMUT,Pterostichus mutus,4,42,demo
HARV,HARV_002,2016-05-15,2016-05,CARGOR,Carabus goryi,3,42,demo
HARV,HARV_002,2016-05-15,2016-05,CYCHRU,Cychrus caraboides,1,42,demo
HARV,HARV_002,2016-05-15,2016-05,AGOMEL,Agonum melanarium,1,42,demo
HARV,HARV_004,2016-05-15,2016-05,PTEMEL,Pterostichus melanarius,1,42,demo
HARV,HARV_004,2016-05-15,2016-05,PTEMUT,Pterostichus mutus,2,42,demo
HARV,HARV_004,2016-05-15,2016-05,CARGOR,Carabus goryi,3,42,demo
HARV,HARV_004,2016-05-15,2016-05,CYCHRU,Cychrus caraboides,2,42,demo
HARV,HARV_004,2016-05-15,2016-05,AGOMEL,Agonum melanarium,1,42,demo
HARV,HARV_007,2016-05-15,2016-05,PTEMEL,Pterostichus melanarius,2,52,demo
HARV,HARV_007,2016-05-15,2016-05,PTEMUT,Pterostichus mutus,4,52,demo
HARV,HARV_007,2016-05-15,2016-05,CARGOR,Carabus goryi,2,52,demo
HARV,HARV_007,2016-05-15,2016-05,CYCHRU,Cychrus caraboides,1,52,demo
HARV,HARV_007,2016-05-15,2016-05,AGOMEL,Agonum melanarium,1,52,demo
HARV,HARV_001,2016-06-15,2016-06,PTEMEL,Pterostichus melanarius,4,56,demo
HARV,HARV_001,2016-06-15,2016-06,PTEMUT,Pterostichus mutus,7,56,demo
HARV,HARV_001,2016-06-15,2016-06,CARGOR,Carabus goryi,5,56,demo
HARV,HARV_001,2016-06-15,2016-06,SYNIMP,Synuchus impunctatus,1,56,demo
HARV,HARV_001,2016-06-15,2016-06,CYCHRU,Cychrus caraboides,1,56,demo
HARV,HARV_001,2016-06-15,2016-06,AGOMEL,Agonum melanarium,5,56,demo
HARV,HARV_002,2016-06-15,2016-06,PTEMEL,Pterostichus melanarius,3,42,demo
HARV,HARV_002,2016-06-15,2016-06,PTEMUT,Pterostichus mutus,4,42,demo
HARV,HARV_002,2016-06-15,2016-06,CARGOR,Carabus goryi,3,42,demo
HARV,HARV_002,2016-06-15,2016-06,SYNIMP,Synuchus impunctatus,1,42,demo
HARV,HARV_002,2016-06-15,2016-06,CYCHRU,Cychrus caraboides,1,42,demo
HARV,HARV_002,2016-06-15,2016-06,AGOMEL,Agonum melanarium,3,42,demo
HARV,HARV_004,2016-06-15,2016-06,PTEMEL,Pterostichus melanarius,4,45,demo
HARV,HARV_004,2016-06-15,2016-06,PTEMUT,Pterostichus mutus,5,45,demo
HARV,HARV_004,2016-06-15,2016-06,CARGOR,Carabus goryi,4,45,demo
HARV,HARV_004,2016-06-15,2016-06,CYCHRU,Cychrus caraboides,2,45,demo
HARV,HARV_004,2016-06-15,2016-06,AGOMEL,Agonum melanarium,2,45,demo
HARV,HARV_007,2016-06-15,2016-06,PTEMEL,Pterostichus melanarius,5,52,demo
HARV,HARV_007,2016-06-15,2016-06,PTEMUT,Pterostichus mutus,6,52,demo
HARV,HARV_007,2016-06-15,2016-06,CARGOR,Carabus goryi,4,52,demo
HARV,HARV_007,2016-06-15,2016-06,SPHSTE,Sphaeroderus stenostomus,1,52,demo
HARV,HARV_007,2016-06-15,2016-06,SYNIMP,Synuchus impunctatus,1,52,demo
HARV,HARV_007,2016-06-15,2016-06,CYCHRU,Cychrus caraboides,2,52,demo
HARV,HARV_007,2016-06-15,2016-06,AGOMEL,Agonum melanarium,4,52,demo
HARV,HARV_001,2016-07-15,2016-07,PTEMEL,Pterostichus melanarius,9,42,demo
HARV,HARV_001,2016-07-15,2016-07,PTEMUT,Pterostichus mutus,5,42,demo
HARV,HARV_001,2016-07-15,2016-07,CARGOR,Carabus goryi,3,42,demo
HARV,HARV_001,2016-07-15,2016-07,SPHSTE,Sphaeroderus stenostomus,1,42,demo
HARV,HARV_001,2016-07-15,2016-07,SYNIMP,Synuchus impunctatus,2,42,demo
HARV,HARV_001,2016-07-15,2016-07,CYCHRU,Cychrus caraboides,1,42,demo
HARV,HARV_001,2016-07-15,2016-07,AGOMEL,Agonum melanarium,3,42,demo
HARV,HARV_002,2016-07-15,2016-07,PTEMEL,Pterostichus melanarius,6,39,demo
HARV,HARV_002,2016-07-15,2016-07,PTEMUT,Pterostichus mutus,3,39,demo
HARV,HARV_002,2016-07-15,2016-07,CARGOR,Carabus goryi,2,39,demo
HARV,HARV_002,2016-07-15,2016-07,SPHSTE,Sphaeroderus stenostomus,1,39,demo
HARV,HARV_002,2016-07-15,2016-07,SYNIMP,Synuchus impunctatus,2,39,demo
