siteID,ym,date,precip_mm,temp_c,temp_min,temp_max,rh_pct,vswc_pct,fruiting_pct,source
JORN,2013-01,2013-01-01,14.3,4.8,-4.7,14.3,53,11.2,2,demo
JORN,2013-02,2013-02-01,11.0,6.8,-2.7,16.3,45,10.0,2,demo
JORN,2013-03,2013-03-01,9.9,10.8,1.3,20.3,35,8.7,6,demo
JORN,2013-04,2013-04-01,6.6,15.8,6.3,25.3,29,7.5,12,demo
JORN,2013-05,2013-05-01,8.8,20.8,11.3,30.3,32,7.5,14,demo
JORN,2013-06,2013-06-01,19.8,25.8,16.3,35.3,39,8.7,10,demo
JORN,2013-07,2013-07-01,45.1,26.8,17.3,36.3,59,15.0,12,demo
JORN,2013-08,2013-08-01,52.8,25.8,16.3,35.3,65,18.7,30,demo
JORN,2013-09,2013-09-01,41.8,21.8,12.3,31.3,61,17.5,48,demo
JORN,2013-10,2013-10-01,24.2,15.8,6.3,25.3,50,13.7,42,demo
JORN,2013-11,2013-11-01,12.1,8.8,-0.7,18.3,50,11.2,14,demo
JORN,2013-12,2013-12-01,17.6,4.8,-4.7,14.3,55,11.2,5,demo
JORN,2014-01,2014-01-01,15.5,4.7,-4.8,14.2,54,11.7,3,demo
JORN,2014-02,2014-02-01,11.9,6.7,-2.8,16.2,46,10.4,3,demo
JORN,2014-03,2014-03-01,10.7,10.7,1.2,20.2,36,9.1,6,demo
JORN,2014-04,2014-04-01,7.1,15.7,6.2,25.2,30,7.8,13,demo
JORN,2014-05,2014-05-01,9.5,20.7,11.2,30.2,33,7.8,15,demo
JORN,2014-06,2014-06-01,21.4,25.7,16.2,35.2,40,9.1,10,demo
JORN,2014-07,2014-07-01,48.8,26.7,17.2,36.2,60,15.5,13,demo
JORN,2014-08,2014-08-01,57.1,25.7,16.2,35.2,66,19.4,31,demo
JORN,2014-09,2014-09-01,45.2,21.7,12.2,31.2,63,18.1,50,demo
JORN,2014-10,2014-10-01,26.2,15.7,6.2,25.2,51,14.2,44,demo
JORN,2014-11,2014-11-01,13.1,8.7,-0.8,18.2,51,11.7,15,demo
JORN,2014-12,2014-12-01,19.0,4.7,-4.8,14.2,57,11.7,5,demo
JORN,2015-01,2015-01-01,16.8,4.5,-5.0,14.0,56,12.1,3,demo
JORN,2015-02,2015-02-01,12.9,6.5,-3.0,16.0,47,10.8,3,demo
JORN,2015-03,2015-03-01,11.6,10.5,1.0,20.0,37,9.4,7,demo
JORN,2015-04,2015-04-01,7.8,15.5,6.0,25.0,31,8.1,13,demo
JORN,2015-05,2015-05-01,10.3,20.5,11.0,30.0,33,8.1,16,demo
JORN,2015-06,2015-06-01,23.3,25.5,16.0,35.0,41,9.4,10,demo
JORN,2015-07,2015-07-01,53.0,26.5,17.0,36.0,62,16.2,13,demo
JORN,2015-08,2015-08-01,62.1,25.5,16.0,35.0,68,20.2,33,demo
JORN,2015-09,2015-09-01,49.1,21.5,12.0,31.0,64,18.9,52,demo
JORN,2015-10,2015-10-01,28.5,15.5,6.0,25.0,52,14.8,46,demo
JORN,2015-11,2015-11-01,14.2,8.5,-1.0,18.0,52,12.1,16,demo
JORN,2015-12,2015-12-01,20.7,4.5,-5.0,14.0,58,12.1,5,demo
JORN,2016-01,2016-01-01,15.9,4.6,-4.9,14.1,55,11.8,3,demo
JORN,2016-02,2016-02-01,12.2,6.6,-2.9,16.1,46,10.5,3,demo
